,nm_class,samples,NiSi,SNV,indel,SVMEI,Normal,fold
1317,Lung-SCC,96dc785c-8417-4813-8d15-c32b22d78b74.csv,52102,2137,1875,523,9,3
1318,Lung-SCC,a762dd44-a8ac-4269-8163-bbf6d0f8d4b3.csv,45457,1539,1872,751,7,4
1319,Lung-SCC,a96eddfc-3afb-4bf8-a440-c91778113fbd.csv,65967,1918,2287,340,8,5
1320,Lung-SCC,abc94013-71f5-4ac6-88a4-01b4ef9f9d2f.csv,39530,1603,1671,333,2,6
1321,Lung-SCC,ad41f1f3-e38e-4418-9c16-52bca5719f39.csv,28356,858,1476,391,5,7
1322,Lung-SCC,b7a7d93b-38a7-4fc3-a433-3bb0a8cb7c42.csv,21235,517,913,417,2,8
1323,Lung-SCC,b88f014e-bc0f-4775-8228-39e0b471c3b0.csv,71523,2006,3129,961,9,9
1324,Lung-SCC,c48d7f4a-e98a-4077-a749-eb9f56f05b84.csv,51375,2212,2233,2415,24,10
1326,Lung-SCC,d2ab2555-7288-47a4-a80c-bf62d65b67b8.csv,28790,1349,1355,560,3,2
1327,Lung-SCC,d54ca81c-1bcc-41ea-b17a-9f7249ebe9c1.csv,18284,440,711,716,4,3
1328,Lung-SCC,e7ebc6fb-0926-4c8a-a67b-0c6b9c1ffaba.csv,25108,367,856,589,1,4
1329,Lung-SCC,e9cb8877-8e83-46c0-93f0-ea20530c9400.csv,53962,1126,1633,248,4,5
1330,Lung-SCC,ee6cc68e-8d2a-41ee-82c6-0fecdf7e6259.csv,28212,967,1485,516,1,6
1331,Lung-SCC,efe4d5dd-fffb-41df-ab86-be06cc16646f.csv,31216,801,1520,853,4,7
1332,Lung-SCC,fab3d6f4-de1c-4d6c-bdea-ac39a7884657.csv,23970,683,1030,679,0,8
1333,Lung-SCC,fb0c6353-a90c-45e2-9355-7cd16cf756ff.csv,113844,4676,4687,907,19,9
1334,Lymph-BNHL,00b9d0e6-69dc-4345-bffd-ce32880c8eef.csv,4013,38,381,16,0,10
1336,Lymph-BNHL,03ad38a6-0902-4aaa-84a3-91ea88fa9883.csv,5654,44,503,56,0,2
1337,Lymph-BNHL,05616329-e7ba-4efd-87b1-d79cd0f7af3d.csv,9738,82,809,129,0,3
1338,Lymph-BNHL,068f4f69-d2fe-4f25-912e-ca7d4623efb6.csv,7453,74,414,68,2,4
1339,Lymph-BNHL,07835447-5d7e-4828-80fd-89b063989c9a.csv,10118,148,903,240,2,5
1340,Lymph-BNHL,0d569bd5-418d-4d72-87ca-8e14668c2119.csv,12857,204,877,124,0,6
1341,Lymph-BNHL,0e7f46ca-6f5c-4538-b6d6-00af65d57fcf.csv,66900,485,1777,120,3,7
1342,Lymph-BNHL,124d5b04-4588-44c3-9c00-61e064cf1bdb.csv,11505,102,1544,292,0,8
1343,Lymph-BNHL,140d5fa9-afbe-444e-a7e7-6a4cb4ab2923.csv,13889,120,1087,108,2,9
1344,Lymph-BNHL,15678c3d-ce61-454d-849e-1d4ca358909b.csv,11834,163,942,412,0,10
1346,Lymph-BNHL,1a4633c4-72a0-4e30-8c4c-345e04337627.csv,14232,137,1069,218,1,2
1347,Lymph-BNHL,1b1780d5-06da-40ee-9e15-02631a68027b.csv,11525,132,1260,268,0,3
1348,Lymph-BNHL,1d1eeba2-4d7b-4380-b0b6-26d246bc4158.csv,4122,37,251,28,1,4
1349,Lymph-BNHL,22578b9f-78dc-464c-9bb9-382f033283d0.csv,2470,10,184,44,0,5
1350,Lymph-BNHL,232b7754-b3c3-4530-9d24-3af40d9b2816.csv,6825,66,229,68,0,6
1351,Lymph-BNHL,2439ec74-1713-4d47-a5d9-886f69dddcb6.csv,16330,146,1296,240,0,7
1352,Lymph-BNHL,282b45ee-4af2-4c61-9acc-286eaf8d661a.csv,10000,83,839,560,1,8
1353,Lymph-BNHL,28f8d45f-4763-472e-9c4d-6787ba00164b.csv,2302,26,270,16,0,9
1354,Lymph-BNHL,2b02e3ad-4423-491e-993a-561e80dc7bcf.csv,5300,44,492,60,0,10
1356,Lymph-BNHL,2c3ada8b-9650-4859-9857-43209c0f7cea.csv,9112,99,827,52,0,2
1357,Lymph-BNHL,2f0a660c-ba3c-49bb-90f7-39b0034cea82.csv,2281,32,275,24,4,3
1358,Lymph-BNHL,3b55c58d-f95a-4a1d-9aa1-8d2c026656a9.csv,5258,48,439,146,2,4
1359,Lymph-BNHL,3e012b50-06d1-4120-971b-5e54139b00ee.csv,28523,314,3382,404,0,5
1360,Lymph-BNHL,3e7ccab5-5b1d-4147-b907-77cab8f0837e.csv,10503,105,1290,84,4,6
1361,Lymph-BNHL,3e94aa64-7dd3-4d63-a5de-b4050d3dfafa.csv,4522,43,286,32,0,7
1362,Lymph-BNHL,41dba8d1-8aad-474c-a82b-20b28ab818bd.csv,9196,76,602,96,1,8
1363,Lymph-BNHL,461df2ae-fcf1-4b93-be0a-c14954fe7c42.csv,17036,155,1941,208,3,9
1364,Lymph-BNHL,4a4309b0-2aca-4d6a-ac50-039b28406bba.csv,6661,43,276,132,0,10
1366,Lymph-BNHL,4d1a4587-adb4-4a65-943e-f19efe8de142.csv,1958,18,171,44,0,2
1367,Lymph-BNHL,4d72d06d-b6af-4294-9eef-6e61e067761f.csv,10011,95,653,76,3,3
1368,Lymph-BNHL,4de7441f-a609-4a75-9fe7-17a647079ac1.csv,1742,10,189,36,0,4
1369,Lymph-BNHL,4e7cdeda-6dc1-4f17-b853-72a68e5aa7e1.csv,33091,503,3484,904,5,5
1370,Lymph-BNHL,4e7e6e1f-c648-446f-bdf6-0b1fcc6dfa83.csv,8794,154,586,68,0,6
1371,Lymph-BNHL,56e57223-264e-489d-bc9a-a07789065c40.csv,7425,91,252,40,0,7
1372,Lymph-BNHL,578ba169-1d2f-4187-b174-082bbc6a5bd2.csv,3939,43,471,48,4,8
1373,Lymph-BNHL,5bcf473f-417d-47a5-9745-ac7faf830b1f.csv,11133,104,383,244,2,9
1374,Lymph-BNHL,5f18b334-6616-406f-8f33-0592b56c14e6.csv,3014,30,60,8,0,10
1376,Lymph-BNHL,650fe009-da01-4717-89df-9c95fafe3d7e.csv,7024,60,331,140,0,2
1377,Lymph-BNHL,687baf0b-aed9-4ab2-adb6-556a1d177a24.csv,3556,34,123,20,0,3
1378,Lymph-BNHL,71982a1b-52a4-440f-bd5d-62a0e6cc7fd9.csv,7684,119,416,236,0,4
1379,Lymph-BNHL,76788f17-257d-47c7-ad85-ac5f959216b5.csv,3666,44,286,32,0,5
1380,Lymph-BNHL,78bd2aa8-e5f6-4b4b-96f0-d406fbdbcee8.csv,3314,30,270,44,0,6
1381,Lymph-BNHL,79e81ab3-5466-4324-9387-2de00d62315c.csv,2082,14,160,40,0,7
1382,Lymph-BNHL,81b4dd02-34ec-4ddc-8818-ed888a60ad88.csv,4175,28,283,32,0,8
1383,Lymph-BNHL,81cc0f39-6677-4f2e-9a75-d30152b188f3.csv,9648,108,669,68,0,9
1384,Lymph-BNHL,82b8cda8-fbff-455e-b0db-7ff6528bd6c8.csv,5568,38,142,276,0,10
1386,Lymph-BNHL,866ecfe7-caa6-4565-9418-6b9d6c8a3b43.csv,4237,65,327,36,1,2
1387,Lymph-BNHL,874f64e9-8a0d-4f88-92c4-7e831842b1d1.csv,2432,24,199,33,0,3
1388,Lymph-BNHL,890e840c-1d1d-4874-a8eb-f9d9a2b50a1c.csv,16708,202,1549,748,3,4
1389,Lymph-BNHL,897a4500-6fb8-4e81-aa07-021a26d632fb.csv,34265,445,1466,776,3,5
1390,Lymph-BNHL,8ddcf0d9-312f-4055-8984-55d463face34.csv,2496,8,143,76,0,6
1391,Lymph-BNHL,8fc11cb6-9d79-41c3-bb45-0dadda890e8d.csv,6065,69,676,428,0,7
1392,Lymph-BNHL,929f2216-6ab3-414f-a814-49b69d4b49d9.csv,22238,171,1990,478,4,8
1393,Lymph-BNHL,995a1ad2-faca-4a37-a59d-e62455985afb.csv,17623,237,1204,112,4,9
1394,Lymph-BNHL,9b3e7a03-cf8c-4da8-bc36-20129d7783ba.csv,16738,195,1233,172,7,10
1396,Lymph-BNHL,9e842227-2bc6-4185-bedb-abeb03836b51.csv,7210,77,370,44,0,2
1397,Lymph-BNHL,a29278af-7ecf-403e-b6a9-623ea7879d05.csv,17671,245,1268,104,3,3
1398,Lymph-BNHL,a31b6123-c1b7-4cd0-86d8-b2e640cce9da.csv,1950,10,147,88,0,4
1399,Lymph-BNHL,aa20b9ab-dba9-4002-ad45-cafa2f85cef7.csv,2553,18,282,16,0,5
1400,Lymph-BNHL,aa847c3d-d3a7-46aa-a81b-db5099a458fb.csv,6933,64,649,31,51,6
1401,Lymph-BNHL,abedd46c-47b8-4242-adb6-12835400cb3f.csv,22978,192,1759,48,5,7
1402,Lymph-BNHL,ac2c8928-33a2-4aa0-8bc1-cdfa1ca0b56a.csv,7243,66,132,36,0,8
1403,Lymph-BNHL,ad0700e2-048a-4856-a77a-bc0b6f25f0e2.csv,2068,11,255,48,0,9
1404,Lymph-BNHL,b2190e26-1809-4aba-9f45-07c2edb3b4a4.csv,3681,36,314,28,2,10
1406,Lymph-BNHL,b9dbc78e-44ce-427c-bbeb-de8d097bde2c.csv,7645,86,650,236,1,2
1407,Lymph-BNHL,baa02e74-9cae-4996-858e-17d9f52d924b.csv,9148,117,390,36,2,3
1408,Lymph-BNHL,bc1d5327-2e76-4e0e-b749-72a559469d0d.csv,13725,170,789,508,1,4
1409,Lymph-BNHL,bd403458-5154-488b-931a-a7e737a6bf8c.csv,17371,209,1166,36,5,5
1410,Lymph-BNHL,bd6bd940-ef06-433a-80d9-dca5683e9cd2.csv,5270,55,368,188,0,6
1411,Lymph-BNHL,bdbcffb0-c7da-4e7d-8002-9feffe48533c.csv,3384,21,129,60,1,7
1412,Lymph-BNHL,c66926a8-474d-482c-bfb7-043029c8b737.csv,6829,47,773,304,0,8
1413,Lymph-BNHL,cc7bba1d-8990-4557-a565-9cff1085f023.csv,3098,20,176,0,0,9
1414,Lymph-BNHL,ce85ccf3-6621-4976-b187-2f28d45dd4d9.csv,19772,167,1438,516,6,10
1416,Lymph-BNHL,d6ee68e5-ceb3-4a63-b3bd-e64fe5398102.csv,4275,26,286,16,0,2
1417,Lymph-BNHL,d733cf1a-4c42-4def-b6cb-5ef2c6a27fcd.csv,24193,231,1395,100,5,3
1418,Lymph-BNHL,db9ce6c6-529c-4da6-92c4-f4f3fc3fe109.csv,3556,28,103,20,0,4
1419,Lymph-BNHL,dbae3c4e-6d66-483a-a611-7285067bf85c.csv,30192,375,1870,196,3,5
1420,Lymph-BNHL,dc4bc4c4-2cc1-4a2e-a9f2-613088af17bf.csv,7864,66,852,76,0,6
1421,Lymph-BNHL,dd8f3e1c-6ed6-41c2-957d-6f679a3cb3ca.csv,4042,27,514,132,0,7
1422,Lymph-BNHL,df814571-57f1-4e55-bc1a-c892c568c4ba.csv,3725,33,217,52,0,8
1423,Lymph-BNHL,e2b09705-c5c8-48ee-a90e-19648a7bf2cb.csv,7898,86,761,48,0,9
1424,Lymph-BNHL,e2fa7251-507e-4d76-95a3-a228adc3885a.csv,7247,73,475,80,0,10
1426,Lymph-BNHL,e84e0649-a2e8-4873-9cb6-1aa65601ae3a.csv,28529,215,2279,156,0,2
1427,Lymph-BNHL,e89e9c69-ffcd-4a4c-818d-1dee43ddc76a.csv,9770,109,1738,448,2,3
1428,Lymph-BNHL,e98e4e23-a139-4fff-b017-35f3f976eddd.csv,4053,51,236,24,0,4
1429,Lymph-BNHL,ebe0ed67-2d3f-45cd-8f9b-4912595b16a0.csv,11162,115,706,976,0,5
1430,Lymph-BNHL,f047cb85-8f88-45d5-83c3-0416c9f3fff7.csv,5554,91,455,36,0,6
1431,Lymph-BNHL,f04aecf0-eb12-4ab9-928e-7bcf201b0b40.csv,3904,41,358,16,0,7
1432,Lymph-BNHL,f2c08ac1-4755-4c36-a11d-338d8df9fa0d.csv,3061,51,213,32,0,8
1433,Lymph-BNHL,f60007b3-0603-4ad1-8b47-d2d4c4c621e4.csv,4153,42,321,12,0,9
1434,Lymph-BNHL,f9837a56-7244-4846-a63d-266e6a92f168.csv,4581,55,258,184,3,10
1436,Lymph-BNHL,fa676301-902f-473f-8313-5bff34ae549a.csv,20533,215,2156,217,3,2
1437,Lymph-BNHL,fce8d8c6-f2a0-43a8-9a7a-b9c519a6686c.csv,44331,259,3418,584,18,3
1438,Lymph-BNHL,fdf7dfb7-9285-46b3-be60-672164507705.csv,31692,397,2037,220,5,4
1439,Lymph-CLL,04b570c2-3224-4e9b-81cc-089b4a7ff07a.csv,2713,24,136,24,0,5
1440,Lymph-CLL,05da3161-1444-4188-914d-19762de3a443.csv,2392,22,172,8,1,6
1441,Lymph-CLL,08f7812b-0d74-42ba-985b-d0a027e8a80c.csv,1269,17,63,12,0,7
1442,Lymph-CLL,0b6cd7df-6970-4d60-b7b5-85002a7d8781.csv,2987,18,222,40,0,8
1443,Lymph-CLL,1157a548-6770-4c89-a84c-bcf6f0e96ea8.csv,2183,20,96,32,0,9
1444,Lymph-CLL,1193a9c4-5aab-4cd7-a690-60c96bd1172d.csv,1654,14,88,12,0,10
1446,Lymph-CLL,140d6ef7-0217-4d16-9add-215d0d14ba06.csv,2812,22,178,8,2,2
1447,Lymph-CLL,14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb.csv,1738,16,105,16,0,3
1448,Lymph-CLL,15563a10-47a8-401d-a507-2c7101f7ae60.csv,1907,16,102,20,0,4
1449,Lymph-CLL,19cd4360-8392-4bc2-ae88-fdc1335d886b.csv,2061,9,92,12,1,5
1450,Lymph-CLL,1bdfaa8a-1b7e-4251-b135-ce5e4568371b.csv,1503,6,90,16,2,6
1451,Lymph-CLL,1de83d45-8492-4b83-9055-a9f43b823f91.csv,2311,12,105,8,1,7
1452,Lymph-CLL,21e7e43e-f9b1-4351-a6d9-b9cd06d15f68.csv,2621,20,144,24,0,8
1453,Lymph-CLL,22cd3875-a123-4f0d-8cd1-371958208ad6.csv,1319,15,67,32,0,9
1454,Lymph-CLL,26c301a6-a597-4c24-9f6c-2293e5ae41c7.csv,2701,14,135,32,0,10
1456,Lymph-CLL,2a7f6aac-8f94-4815-8b94-0ea7db71135c.csv,1864,6,82,20,0,2
1457,Lymph-CLL,2df17728-33e8-45ab-833b-ef68a5482daa.csv,2994,22,118,20,0,3
1458,Lymph-CLL,2f324d8b-ec7b-4d3b-9d64-65f9fc6630a2.csv,1721,12,65,16,0,4
1459,Lymph-CLL,31a70598-33be-4f09-9990-bd7594467802.csv,1350,10,50,12,0,5
1460,Lymph-CLL,367fdef3-d7af-4996-932f-cc5087e843dc.csv,2389,21,120,28,0,6
1461,Lymph-CLL,39a5d94d-e8c8-4057-be96-362ffbafb94d.csv,2117,27,166,8,0,7
1462,Lymph-CLL,3de261ea-6478-4f96-8ca1-30be130e945f.csv,1638,12,95,20,0,8
1463,Lymph-CLL,3e8a2c90-e747-4a22-bc9e-0b062479fec2.csv,3280,59,193,12,1,9
1464,Lymph-CLL,3ee54a3c-69ba-479a-b1fe-79917e1b6dd5.csv,1423,8,80,36,0,10
1466,Lymph-CLL,43d630aa-3890-401c-bf56-e3a9f325734f.csv,3646,53,245,16,0,2
1467,Lymph-CLL,4808f9e1-452d-45eb-9b87-2f87c67d3452.csv,4510,18,220,124,0,3
1468,Lymph-CLL,49ce0836-adec-4f62-ac01-dbdfbb96d9fc.csv,1055,10,42,8,0,4
1469,Lymph-CLL,4b7a704b-e516-4275-be11-45cc935237e2.csv,1529,2,64,24,0,5
1470,Lymph-CLL,4b8c6b0c-0d0c-4834-a2f3-691e0919b902.csv,1957,6,95,20,2,6
1471,Lymph-CLL,4b91ece6-c9b2-4889-b18c-c63eb58eb061.csv,2096,14,61,4,0,7
1472,Lymph-CLL,50f4d836-79a9-4bc7-a63a-7aa29e41d418.csv,2542,20,118,20,0,8
1473,Lymph-CLL,513bafce-375c-49b0-ae75-6c607abd05d8.csv,3710,28,229,32,0,9
1474,Lymph-CLL,537cccf2-fb25-448b-813e-ca5d5642b910.csv,755,0,33,0,0,10
1476,Lymph-CLL,5b4b2312-acb5-4329-8d46-7f93213e3daf.csv,3453,41,205,28,0,2
1477,Lymph-CLL,5f53bcda-2fd3-4574-9cc2-5efe353372b2.csv,4343,31,124,20,0,3
1478,Lymph-CLL,616ff577-c5c3-432e-a857-f29901de119c.csv,2290,26,118,28,2,4
1479,Lymph-CLL,631eedb3-dbd1-4606-90e1-ea91b9a77a5a.csv,2571,10,113,16,0,5
1480,Lymph-CLL,66b4a1f3-480f-4050-96ac-920c1c080864.csv,2051,16,106,12,2,6
1481,Lymph-CLL,6cfce053-bfd6-4ca0-b74b-b2e4549e4f1f.csv,3189,39,187,20,0,7
1482,Lymph-CLL,6ea6b5e4-cdc4-4e3a-bde2-8089d2a4d7eb.csv,1150,2,64,20,0,8
1483,Lymph-CLL,767517f2-f94c-44bb-9af6-36b662b166ef.csv,2527,24,170,4,2,9
1484,Lymph-CLL,79524d64-8f4a-4889-b345-33198808b9de.csv,1853,13,68,16,0,10
1486,Lymph-CLL,7d52a9e7-b5a9-4519-96fd-e8be42a7890c.csv,1427,6,61,8,0,2
1487,Lymph-CLL,7f7e007e-4b06-4328-b116-6dcdb2ad8181.csv,2715,13,137,20,2,3
1488,Lymph-CLL,870e7aa5-a9c2-4c4e-afa8-36bb3bdc4eee.csv,2279,16,88,28,0,4
1489,Lymph-CLL,873ed251-fa44-465f-99e0-c90a42ea13d9.csv,1644,17,95,25,0,5
1490,Lymph-CLL,8c4038b6-c02a-46db-9514-c13b88d9bf48.csv,2512,26,163,17,0,6
1491,Lymph-CLL,8cce153d-953d-40c5-976b-60f6a143608c.csv,3303,33,225,24,0,7
1493,Lymph-CLL,90de4296-0223-4b9f-8abb-6db278bfc932.csv,1681,28,97,0,0,8
1494,Lymph-CLL,91397d9c-3120-407f-8847-74b356943469.csv,2704,26,122,36,0,9
1495,Lymph-CLL,915cbb43-9e00-433d-818f-531011bea57e.csv,5065,65,357,44,0,10
1497,Lymph-CLL,9c730cfb-3fd6-428a-a0a4-c061ca5db06c.csv,1574,25,95,32,0,2
1498,Lymph-CLL,9e99b8d9-6f0d-4fe0-9c1e-d286c0714909.csv,2071,14,94,28,0,3
1499,Lymph-CLL,a1724132-f95c-4622-8987-fe3183b9dce3.csv,1889,14,128,20,0,4
1500,Lymph-CLL,a7e1deb7-2e3d-4e36-90c7-9cae34cdcfb3.csv,2162,16,153,8,0,5
1501,Lymph-CLL,a83e247a-8f65-4be4-9c6e-a72c4abffae8.csv,1891,22,161,16,0,6
1502,Lymph-CLL,a9a240f3-d237-4bb8-b968-e4a3cc7c2633.csv,2630,24,138,24,0,7
1503,Lymph-CLL,a9d055c6-6c53-4e85-8270-34883a1342a9.csv,2634,14,155,16,0,8
1504,Lymph-CLL,ac23a8d2-ac42-4031-9dd4-9b56baeb246e.csv,2123,20,142,24,0,9
1505,Lymph-CLL,ad92f17f-11e6-49bd-9835-6b2f47053485.csv,3063,35,196,12,0,10
1507,Lymph-CLL,b7722577-f200-4dec-97f6-4fab3a9ba52d.csv,2495,10,187,12,0,2
1508,Lymph-CLL,bcd52bcb-6e35-4220-9775-96dabff926b4.csv,2406,17,105,0,0,3
1509,Lymph-CLL,c00d925a-ca4d-4561-a8f2-d4542f218086.csv,2265,12,129,32,0,4
1510,Lymph-CLL,c13d7ee5-2bf0-43e4-9cd3-9326ed9355cf.csv,5601,44,289,20,0,5
1511,Lymph-CLL,c459dba5-b27c-46f0-b5b8-c62d597a0542.csv,4426,36,238,60,2,6
1512,Lymph-CLL,c569b867-dadd-4591-af17-7e9b74699561.csv,1805,6,91,20,0,7
1513,Lymph-CLL,c642b9cc-bdb1-4796-9692-8be92398be17.csv,1958,17,95,12,0,8
1514,Lymph-CLL,c9f87f0d-4967-4be2-8b92-a20f1980ea22.csv,1954,21,79,28,0,9
1515,Lymph-CLL,ca49fdb1-d55a-427c-9819-90980dcd956f.csv,2067,17,105,16,0,10
1517,Lymph-CLL,d5423a93-0a72-43cf-a7ae-9011f47553c7.csv,2957,30,132,32,0,2
1518,Lymph-CLL,d88296ac-bb0d-47ab-9051-6c358f0af780.csv,2360,12,99,20,0,3
1519,Lymph-CLL,dabdd983-a819-410e-bfb8-5c66a66cf5ab.csv,1945,4,101,16,0,4
1520,Lymph-CLL,dc505248-ed04-4f77-a7c6-3fefbc5df27b.csv,2590,23,96,20,0,5
1521,Lymph-CLL,de99a4de-e916-4572-ac9e-73e341827229.csv,3747,32,229,12,0,6
1522,Lymph-CLL,def5526a-774a-4704-bb24-10c4e713649a.csv,1034,6,38,0,0,7
1523,Lymph-CLL,e1f0c565-6ed3-4e42-bc3e-c7b0003e837a.csv,2359,6,140,4,0,8
1524,Lymph-CLL,ea4a5ca7-86f9-47c7-81be-0c2c669a999f.csv,1482,4,84,24,0,9
1525,Lymph-CLL,eba6d269-27f8-4e50-b59a-5d639bdd5cff.csv,2611,29,113,68,0,10
1527,Lymph-CLL,ef3b454c-b2cf-4f68-a2ab-733620b6714e.csv,1414,12,78,16,0,2
1528,Lymph-CLL,f1fdacf3-2bb5-400c-895d-ec7f472fa0d4.csv,2192,14,165,12,0,3
1529,Lymph-CLL,f266899a-1dab-4226-a965-bc1327c64080.csv,1816,20,93,24,0,4
1530,Lymph-CLL,f5c8f98a-c34a-49e8-a655-d8f29487b55c.csv,1989,6,113,20,2,5
1531,Lymph-CLL,fa9996c3-b874-4424-a5a6-f1c7c0f42b9b.csv,1432,14,50,12,0,6
1532,Lymph-CLL,fb74cca4-ac9c-4be0-80e3-e71592f96aae.csv,4376,34,145,32,0,7
1533,Lymph-CLL,ffa976f0-aa60-4867-842e-361afa7d68ac.csv,3247,46,177,24,1,8
1534,Myeloid-MPN,f8e61a02-654c-c226-e040-11ac0d481b60.csv,817,2,44,8,1,9
1535,Myeloid-MPN,f8e61a02-6e5e-c8e2-e040-11ac0d481b70.csv,1261,18,42,0,0,10
1537,Myeloid-MPN,f8e61a02-8c9e-aaee-e040-11ac0d481b6a.csv,3072,10,93,8,0,2
1538,Myeloid-MPN,f8e61a02-909d-a906-e040-11ac0d481b6e.csv,846,2,13,0,0,3
1539,Myeloid-MPN,f8e61a02-92b1-947e-e040-11ac0d481b68.csv,2260,14,94,4,0,4
1540,Myeloid-MPN,f8e61a02-938b-9428-e040-11ac0d481b6c.csv,987,4,31,0,0,5
1541,Myeloid-MPN,f8e61a06-42fa-e42c-e040-11ac0d481b72.csv,1501,4,24,0,0,6
1542,Myeloid-MPN,f8efa5ad-3a4d-39d6-e040-11ac0c480132.csv,2282,31,35,0,0,7
1543,Myeloid-MPN,f8efc19a-1e4b-e1b0-e040-11ac0c48104e.csv,446,2,17,0,0,8
1544,Myeloid-MPN,f8f0136b-09ec-d079-e040-11ac0c4842e7.csv,1644,4,88,8,0,9
1545,Myeloid-MPN,f8f024e5-7096-3047-e040-11ac0d481c0f.csv,829,14,38,4,0,10
1547,Myeloid-MPN,f8f61e36-b934-9410-e040-11ac0c4804cc.csv,368,4,7,0,1,2
1548,Myeloid-MPN,f8f7f274-dd98-3bb0-e040-11ac0c483fcd.csv,1488,2,48,0,0,3
1549,Myeloid-MPN,f8f9d9b8-abdd-1afb-e040-11ac0d480523.csv,1548,4,64,272,0,4
1550,Myeloid-MPN,f8fae6e5-93b5-7233-e040-11ac0c4830e7.csv,1271,4,62,0,0,5
1551,Myeloid-MPN,f8fb791c-08b4-b6e1-e040-11ac0d4868f3.csv,2816,8,75,0,0,6
1552,Myeloid-MPN,f9012277-55c4-2486-e040-11ac0c48236f.csv,352,0,7,0,0,7
1553,Myeloid-MPN,f901c7f7-891e-8ec1-e040-11ac0c480829.csv,269,2,3,0,0,8
1554,Myeloid-MPN,f9020478-c741-6776-e040-11ac0d481228.csv,1664,6,52,4,0,9
1555,Myeloid-MPN,f9031d03-def1-24b4-e040-11ac0c486570.csv,1603,4,82,4,0,10
1557,Myeloid-MPN,f903cfe2-c082-1bf6-e040-11ac0d4809f7.csv,870,0,19,0,0,2
1558,Myeloid-MPN,f9052bfc-94a0-cb29-e040-11ac0c48284a.csv,3162,8,73,0,0,3
1559,Myeloid-MPN,f90b298a-0546-6c36-e040-11ac0c487a0b.csv,376,2,3,0,0,4
1560,Myeloid-MPN,f90cab09-6797-eccb-e040-11ac0d486aa3.csv,1743,8,59,4,0,5
1561,Myeloid-MPN,f90d51f8-3bc4-2e66-e040-11ac0d484d19.csv,884,0,29,0,0,6
1562,Myeloid-MPN,f90dbdbf-f8cd-e0d8-e040-11ac0c482576.csv,1337,4,50,4,0,7
1563,Myeloid-MPN,f90f8204-4d65-04fa-e040-11ac0c4841bb.csv,1860,8,78,0,0,8
1564,Myeloid-MPN,f9101872-d864-c508-e040-11ac0c4818b5.csv,922,4,29,12,0,9
1565,Myeloid-MPN,f9116dda-19f4-9e1b-e040-11ac0c4872b8.csv,1272,0,22,8,0,10
1567,Myeloid-MPN,f91a9af2-7909-099e-e040-11ac0c484205.csv,182,4,0,0,0,2
1568,Myeloid-MPN,f91ba748-5a05-e738-e040-11ac0c486a08.csv,1324,2,45,8,0,3
1569,Myeloid-MPN,f91bde65-233d-2218-e040-11ac0c480a33.csv,1067,8,26,0,0,4
1570,Myeloid-MPN,f91d1645-9b68-edbb-e040-11ac0c4854d8.csv,358,0,7,0,0,5
1571,Myeloid-MPN,f91faa2e-ea53-bef4-e040-11ac0d485f5d.csv,1109,2,48,0,0,6
1572,Myeloid-MPN,f920200e-f349-3730-e040-11ac0d4825cc.csv,754,6,30,4,0,7
1573,Myeloid-MPN,f920ef57-c942-d2e1-e040-11ac0d481706.csv,1158,2,36,0,0,8
1574,Myeloid-MPN,f92268fe-7a92-51e8-e040-11ac0d48733a.csv,1485,4,55,0,0,9
1575,Myeloid-MPN,f925f24b-bffd-89ab-e040-11ac0d48682f.csv,2101,12,69,16,0,10
1577,Myeloid-MPN,f92a78d1-90ff-70c8-e040-11ac0d485eca.csv,1773,10,65,4,0,2
1578,Myeloid-MPN,f92b2c52-ed64-4594-e040-11ac0d48425c.csv,832,4,35,0,0,3
1579,Myeloid-MPN,f92b8fda-350b-17d5-e040-11ac0c480ce8.csv,416,0,13,0,0,4
1580,Myeloid-MPN,f92c8821-daba-3727-e040-11ac0d480224.csv,966,4,17,4,0,5
1581,Myeloid-MPN,f92fde51-6a19-6641-e040-11ac0c484074.csv,83,0,1,0,0,6
1582,Myeloid-MPN,f937fc8b-6fa7-12fd-e040-11ac0d4850f9.csv,423,0,14,4,0,7
1583,Myeloid-MPN,f938b6f4-a457-c624-e040-11ac0c486fad.csv,648,0,35,0,0,8
1584,Myeloid-MPN,f939f757-a415-ad44-e040-11ac0d4868e5.csv,997,6,8,0,0,9
1585,Myeloid-MPN,f93abbbf-5e13-9b85-e040-11ac0d485718.csv,1063,4,40,0,1,10
1587,Myeloid-MPN,f93dd46d-4611-e84e-e040-11ac0c483323.csv,1347,4,66,0,0,2
1588,Myeloid-MPN,f942b732-7c0b-7ec6-e040-11ac0c483f86.csv,477,10,15,0,0,3
1589,Ovary-AdenoCA,0009b464-b376-4fbc-8a56-da538269a02f.csv,15272,454,669,1339,2,4
1590,Ovary-AdenoCA,01df36af-3617-40fc-9892-f54ce433cf71.csv,5652,42,295,622,1,5
1591,Ovary-AdenoCA,052665d1-ab75-4f40-be5a-b88154c8beed.csv,8091,107,561,818,2,6
1592,Ovary-AdenoCA,0664753b-7566-41e0-8006-7009c6735406.csv,2544,6,275,451,2,7
1593,Ovary-AdenoCA,09508a0d-ebe0-4fa1-b7b2-1710814181cd.csv,9985,162,446,3097,2,8
1594,Ovary-AdenoCA,0ae2193f-0d68-485a-b8c2-7568cbcce33e.csv,1946,14,187,98,2,9
