,nm_class,samples,slices,fold
4952,LUSC,TCGA-NK-A5CX-01A-11D-A26M-08,3,6
4953,LUSC,TCGA-22-5479-01A-31D-1945-08,4,6
4954,LUSC,TCGA-43-5670-01A-21D-2122-08,5,6
4956,LUSC,TCGA-77-A5G3-01A-31D-A27K-08,7,6
4957,LUSC,TCGA-66-2787-01A-01D-0983-08,8,6
4958,LUSC,TCGA-21-1082-01A-01D-1521-08,9,6
4959,LUSC,TCGA-58-8386-01A-11D-2293-08,10,6
4960,LUSC,TCGA-37-A5EL-01A-11D-A26M-08,1,6
4961,LUSC,TCGA-43-2578-01A-01D-1522-08,2,6
4962,LUSC,TCGA-68-A59J-01A-21D-A26M-08,3,6
4963,LUSC,TCGA-63-A5MH-01A-12D-A27K-08,4,6
4964,LUSC,TCGA-85-8049-01A-11D-2244-08,5,6
4966,LUSC,TCGA-60-2713-01A-01D-1522-08,7,6
4967,LUSC,TCGA-98-8023-01A-11D-2244-08,8,6
4968,LUSC,TCGA-85-8353-01A-21D-2293-08,9,6
4969,LUSC,TCGA-94-8035-01A-11D-2244-08,10,6
4970,LUSC,TCGA-56-A5DS-01A-11D-A27K-08,1,6
4971,LUSC,TCGA-77-8145-01A-11D-2244-08,2,6
4972,LUSC,TCGA-22-1016-01A-01D-1521-08,3,6
4973,LUSC,TCGA-NC-A5HP-01A-11D-A26M-08,4,6
4974,LUSC,TCGA-90-7766-01A-21D-2122-08,5,6
4976,LUSC,TCGA-22-5472-01A-01D-1632-08,7,6
4977,LUSC,TCGA-85-7698-01A-11D-2122-08,8,6
4978,LUSC,TCGA-21-5787-01A-01D-1632-08,9,6
4979,LUSC,TCGA-56-8308-01A-11D-2293-08,10,6
4980,LUSC,TCGA-33-4538-01A-01D-1267-08,1,6
4981,LUSC,TCGA-46-3767-01A-01D-0983-08,2,6
4982,LUSC,TCGA-34-5236-01A-21D-1817-08,3,6
4983,LUSC,TCGA-56-8626-01A-11D-2395-08,4,6
4984,LUSC,TCGA-56-A4ZJ-01A-11D-A25L-08,5,6
4986,LUSC,TCGA-63-5131-01A-01D-1441-08,7,6
4987,LUSC,TCGA-NK-A5CT-01A-31D-A26M-08,8,6
4988,LUSC,TCGA-60-2709-01A-21D-1817-08,9,6
4989,LUSC,TCGA-56-A62T-01A-11D-A401-08,10,6
4990,LUSC,TCGA-77-7463-01A-11D-2042-08,1,6
4991,LUSC,TCGA-39-5021-01A-01D-1441-08,2,6
4992,LUSC,TCGA-39-5019-01A-01D-1817-08,3,6
4993,LUSC,TCGA-56-8622-01A-11D-2395-08,4,6
4994,LUSC,TCGA-96-8169-01A-11D-2293-08,5,6
4996,LUSC,TCGA-77-A5GH-01A-11D-A27K-08,7,6
4997,LUSC,TCGA-77-7140-01A-41D-2042-08,8,6
4998,LUSC,TCGA-90-A4EE-01A-11D-A257-08,9,6
4999,LUSC,TCGA-37-3789-01A-01D-0983-08,10,6
5000,LUSC,TCGA-98-A53H-01A-12D-A25L-08,1,6
5001,LUSC,TCGA-98-7454-01A-11D-2042-08,2,6
5002,LUSC,TCGA-90-A4ED-01A-31D-A257-08,3,6
5003,LUSC,TCGA-92-8063-01A-11D-2244-08,4,6
5004,LUSC,TCGA-92-8064-01A-11D-2244-08,5,6
5006,LUSC,TCGA-56-8304-01A-11D-2323-08,7,6
5007,LUSC,TCGA-66-2765-01A-01D-1522-08,8,6
5008,LUSC,TCGA-85-8355-01A-11D-2293-08,9,6
5009,LUSC,TCGA-34-5928-01A-11D-1817-08,10,6
5010,LUSC,TCGA-66-2769-01A-02D-1522-08,1,6
5011,LUSC,TCGA-34-2604-01A-01D-1522-08,2,6
5012,LUSC,TCGA-22-4605-01A-21D-2122-08,3,6
5013,LUSC,TCGA-56-6545-01A-11D-1817-08,4,6
5014,LUSC,TCGA-77-8153-01A-11D-2395-08,5,6
5016,LUSC,TCGA-37-4133-01A-01D-1352-08,7,6
5017,LUSC,TCGA-77-A5G1-01A-11D-A27K-08,8,6
5018,LUSC,TCGA-85-8664-01A-11D-2395-08,9,6
5019,LUSC,TCGA-66-2783-01A-01D-1267-08,10,6
5020,LUSC,TCGA-22-5471-01A-01D-1632-08,1,6
5021,LUSC,TCGA-O2-A52S-01A-11D-A25L-08,2,6
5022,LUSC,TCGA-56-8201-01A-11D-2244-08,3,6
5023,LUSC,TCGA-77-8138-01A-11D-2244-08,4,6
5024,LUSC,TCGA-34-2600-01A-01D-1522-08,5,6
5026,LUSC,TCGA-85-8352-01A-31D-2323-08,7,6
5027,LUSC,TCGA-98-8020-01A-11D-2244-08,8,6
5028,LUSC,TCGA-33-AASB-01A-11D-A401-08,9,6
5029,LUSC,TCGA-46-6025-01A-11D-1817-08,10,6
5030,LUSC,TCGA-66-2767-01A-01D-1522-08,1,6
5031,LUSC,TCGA-18-3414-01A-01D-0983-08,2,6
5032,LUSC,TCGA-77-7139-01A-11D-2042-08,3,6
5033,LUSC,TCGA-52-7809-01A-21D-2122-08,4,6
5034,LUSC,TCGA-63-A5MW-01A-11D-A26M-08,5,6
5036,LUSC,TCGA-98-A539-01A-31D-A25L-08,7,6
5037,LUSC,TCGA-96-8170-01A-11D-2293-08,8,6
5038,LUSC,TCGA-66-2794-01A-01D-1267-08,9,6
5039,LUSC,TCGA-56-7822-01A-11D-2122-08,10,6
5040,LUSC,TCGA-22-0940-01A-01D-1521-08,1,6
5041,LUSC,TCGA-58-8391-01A-11D-2323-08,2,6
5042,LUSC,TCGA-85-A4CN-01A-11D-A24D-08,3,6
5043,LUSC,TCGA-21-5786-01A-01D-1632-08,4,6
5044,LUSC,TCGA-56-6546-01A-11D-1817-08,5,6
5046,LUSC,TCGA-85-7696-01A-11D-2122-08,7,6
5047,LUSC,TCGA-98-8022-01A-11D-2244-08,8,6
5048,LUSC,TCGA-MF-A522-01A-11D-A25L-08,9,6
5049,LUSC,TCGA-22-4607-01A-01D-1267-08,10,6
5050,LUSC,TCGA-85-7710-01A-11D-2122-08,1,6
5051,LUSC,TCGA-77-8148-01A-11D-2244-08,2,6
5052,LUSC,TCGA-85-8481-01A-11D-2323-08,3,6
5053,LUSC,TCGA-34-8455-01A-11D-2323-08,4,6
5054,LUSC,TCGA-77-8140-01A-11D-2244-08,5,6
5056,LUSC,TCGA-37-4132-01A-01D-1352-08,7,6
5057,LUSC,TCGA-L3-A4E7-01A-11D-A257-08,8,6
5058,LUSC,TCGA-18-3407-01A-01D-0983-08,9,6
5059,LUSC,TCGA-34-A5IX-01A-12D-A27K-08,10,6
5060,LUSC,TCGA-77-7141-01A-11D-2042-08,1,6
5061,LUSC,TCGA-21-5783-01A-41D-2184-08,2,6
5062,LUSC,TCGA-66-2773-01A-01D-1267-08,3,6
5063,LUSC,TCGA-70-6723-01A-11D-1817-08,4,6
5064,LUSC,TCGA-22-1011-01A-01D-1521-08,5,6
5066,LUSC,TCGA-33-4587-01A-11D-2122-08,7,6
5067,LUSC,TCGA-85-8288-01A-11D-2293-08,8,6
5068,LUSC,TCGA-77-A5G7-01B-11D-A27K-08,9,6
5069,LUSC,TCGA-22-5478-01A-01D-1632-08,10,6
5070,LUSC,TCGA-85-8580-01A-31D-2395-08,1,6
5071,LUSC,TCGA-60-2697-01A-11D-2122-08,2,6
5072,LUSC,TCGA-63-7021-01A-11D-1945-08,3,6
5073,LUSC,TCGA-56-A4BW-01A-11D-A24D-08,4,6
5074,LUSC,TCGA-43-2581-01A-01D-1522-08,5,6
5076,LUSC,TCGA-J1-A4AH-01A-31D-A24D-08,7,6
5077,LUSC,TCGA-70-6722-01A-11D-1817-08,8,6
5078,LUSC,TCGA-66-2780-01A-01D-1522-08,9,6
5079,LUSC,TCGA-43-8116-01A-11D-2244-08,10,6
5080,LUSC,TCGA-22-5482-01A-01D-1632-08,1,6
5081,LUSC,TCGA-NC-A5HH-01A-11D-A26M-08,2,6
5082,LUSC,TCGA-66-2789-01A-01D-0983-08,3,6
5083,LUSC,TCGA-18-3415-01A-01D-0983-08,4,6
5084,LUSC,TCGA-85-8070-01A-11D-2244-08,5,6
5086,LUSC,TCGA-77-8008-01A-21D-2184-08,7,6
5087,LUSC,TCGA-56-A4ZK-01A-11D-A25L-08,8,6
5088,LUSC,TCGA-33-4586-01A-01D-1441-08,9,6
5089,LUSC,TCGA-22-4613-01A-01D-1441-08,10,6
5090,LUSC,TCGA-66-2785-01A-01D-1522-08,1,6
5091,LUSC,TCGA-39-5035-01A-01D-1441-08,2,6
5092,LUSC,TCGA-60-2726-01A-01D-1522-08,3,6
5093,LUSC,TCGA-85-8277-01A-11D-2293-08,4,6
5094,LUSC,TCGA-77-6844-01A-11D-1945-08,5,6
5096,LUSC,TCGA-63-A5MI-01A-12D-A27K-08,7,6
5097,LUSC,TCGA-85-8479-01A-11D-2323-08,8,6
5098,LUSC,TCGA-43-A475-01A-11D-A24D-08,9,6
5099,LUSC,TCGA-56-7730-01A-11D-2122-08,10,6
5100,LUSC,TCGA-L3-A524-01A-11D-A25L-08,1,6
5101,LUSC,TCGA-33-4533-01A-01D-1267-08,2,6
5102,LUSC,TCGA-6A-AB49-01A-12D-A401-08,3,6
5103,LUSC,TCGA-63-A5M9-01A-11D-A26M-08,4,6
5104,LUSC,TCGA-33-AASD-01A-11D-A401-08,5,6
5106,LUSC,TCGA-85-A512-01A-11D-A26M-08,7,6
5107,LUSC,TCGA-66-2793-01A-01D-1267-08,8,6
5108,LUSC,TCGA-92-8065-01A-11D-2244-08,9,6
5109,LUSC,TCGA-56-7221-01A-11D-2042-08,10,6
5110,LUSC,TCGA-43-8115-01A-11D-2244-08,1,6
5111,LUSC,TCGA-56-7823-01B-11D-2244-08,2,6
5112,LUSC,TCGA-66-2756-01A-01D-1522-08,3,6
5113,LUSC,TCGA-92-7340-01A-21D-2042-08,4,6
5114,LUSC,TCGA-56-5897-01A-11D-1632-08,5,6
5116,LUSC,TCGA-34-5234-01A-01D-1632-08,7,6
5117,LUSC,TCGA-58-A46J-01A-11D-A24D-08,8,6
5118,LUSC,TCGA-46-3765-01A-01D-0983-08,9,6
5119,LUSC,TCGA-34-8454-01A-11D-2323-08,10,6
5120,LUSC,TCGA-77-A5G6-01A-11D-A27K-08,1,6
5121,LUSC,TCGA-56-A49D-01A-11D-A24D-08,2,6
5122,LUSC,TCGA-22-5491-01A-01D-1632-08,3,6
5123,LUSC,TCGA-58-A46N-01A-11D-A24D-08,4,6
5124,LUSC,TCGA-18-3412-01A-01D-0983-08,5,6
5126,LUSC,TCGA-63-6202-01A-11D-1817-08,7,6
5127,LUSC,TCGA-NC-A5HD-01A-11D-A26M-08,8,6
5128,LUSC,TCGA-56-7731-01A-11D-2122-08,9,6
5129,LUSC,TCGA-O2-A52Q-01A-11D-A26M-08,10,6
5130,LUSC,TCGA-66-2771-01A-01D-0983-08,1,6
5131,LUSC,TCGA-85-A50Z-01A-21D-A25L-08,2,6
5132,LUSC,TCGA-46-3769-01A-01D-0983-08,3,6
5133,LUSC,TCGA-77-8131-01A-11D-2244-08,4,6
5134,LUSC,TCGA-56-8624-01A-11D-2395-08,5,6
5136,LUSC,TCGA-60-2724-01A-01D-1522-08,7,6
5137,LUSC,TCGA-22-1000-01A-01D-1521-08,8,6
5138,LUSC,TCGA-60-2720-01A-01D-1522-08,9,6
5139,LUSC,TCGA-85-8276-01A-11D-2293-08,10,6
5140,LUSC,TCGA-66-2757-01A-01D-1522-08,1,6
5141,LUSC,TCGA-39-5028-01A-01D-1441-08,2,6
5142,LUSC,TCGA-NC-A5HT-01A-11D-A26M-08,3,6
5143,LUSC,TCGA-98-A538-01A-11D-A25L-08,4,6
5144,LUSC,TCGA-85-A53L-01A-21D-A26M-08,5,6
5146,LUSC,TCGA-39-5011-01A-01D-1441-08,7,6
5147,LUSC,TCGA-51-4079-01A-01D-1458-08,8,6
5148,LUSC,TCGA-56-1622-01A-01D-1521-08,9,6
5149,LUSC,TCGA-63-A5MM-01A-11D-A26M-08,10,6
5150,LUSC,TCGA-34-5241-01A-01D-1441-08,1,6
5151,LUSC,TCGA-56-7582-01A-11D-2042-08,2,6
5152,LUSC,TCGA-98-A53B-01A-11D-A25L-08,3,6
5153,LUSC,TCGA-21-1081-01A-01D-1521-08,4,6
5154,LUSC,TCGA-63-A5MR-01A-31D-A27K-08,5,6
5156,LUSC,TCGA-56-8504-01A-11D-2395-08,7,6
5157,LUSC,TCGA-18-5592-01A-01D-1632-08,8,6
5158,LUSC,TCGA-77-A5GB-01B-11D-A27K-08,9,6
5159,LUSC,TCGA-22-1005-01A-01D-1521-08,10,6
5160,LUSC,TCGA-NC-A5HG-01A-11D-A26M-08,1,6
5161,LUSC,TCGA-85-A5B5-01A-21D-A26M-08,2,6
5162,LUSC,TCGA-60-2710-01A-01D-1522-08,3,6
5163,LUSC,TCGA-60-2698-01A-01D-1522-08,4,6
5164,LUSC,TCGA-33-4589-01A-01D-1441-08,5,6
5166,LUSC,TCGA-66-2727-01A-01D-0983-08,7,6
5167,LUSC,TCGA-63-A5MJ-01A-11D-A27K-08,8,6
5168,LUSC,TCGA-56-8629-01A-11D-2395-08,9,6
5169,LUSC,TCGA-22-5480-01A-01D-1632-08,10,6
5170,LUSC,TCGA-33-AASI-01A-22D-A401-08,1,6
5171,LUSC,TCGA-79-5596-01A-31D-1945-08,2,6
5172,LUSC,TCGA-22-4604-01A-01D-1267-08,3,6
5173,LUSC,TCGA-77-8144-01A-11D-2244-08,4,6
5174,LUSC,TCGA-85-8071-01A-11D-2244-08,5,6
5176,LUSC,TCGA-66-2758-01A-02D-1522-08,7,6
5177,LUSC,TCGA-NC-A5HM-01A-12D-A26M-08,8,6
5178,LUSC,TCGA-66-2788-01A-01D-0983-08,9,6
5179,LUSC,TCGA-22-4601-01A-01D-1441-08,10,6
5180,LUSC,TCGA-43-6773-01A-41D-1945-08,1,6
5181,LUSC,TCGA-60-2707-01A-01D-1522-08,2,6
5182,LUSC,TCGA-85-8052-01A-11D-2244-08,3,6
5183,LUSC,TCGA-60-2721-01A-01D-1522-08,4,6
5184,LUSC,TCGA-34-2608-01A-02D-1522-08,5,6
5186,LUSC,TCGA-98-A53I-01A-31D-A25L-08,7,6
5187,LUSC,TCGA-85-7950-01A-11D-2184-08,8,6
5188,LUSC,TCGA-66-2763-01A-01D-1522-08,9,6
5189,LUSC,TCGA-43-6771-01A-11D-1817-08,10,6
5190,LUSC,TCGA-60-2723-01A-01D-1522-08,1,6
5191,LUSC,TCGA-94-7943-01A-11D-2184-08,2,6
5192,LUSC,TCGA-63-5128-01A-01D-1441-08,3,6
5193,LUSC,TCGA-33-AASJ-01A-11D-A401-08,4,6
5194,LUSC,TCGA-63-A5MV-01A-21D-A26M-08,5,6
5196,LUSC,TCGA-39-5039-01A-01D-1441-08,7,6
5197,PAAD,TCGA-HZ-8638-01A-11D-2396-08,8,6
5198,PAAD,TCGA-2L-AAQM-01A-11D-A397-08,9,6
5199,PAAD,TCGA-HZ-8001-01A-11D-2201-08,10,6
5200,PAAD,TCGA-IB-7651-01A-11D-2154-08,1,6
5201,PAAD,TCGA-HZ-8005-01A-11D-2201-08,2,6
5202,PAAD,TCGA-HV-A7OL-01A-11D-A33T-08,3,6
5203,PAAD,TCGA-3A-A9IV-01A-11D-A40W-08,4,6
5204,PAAD,TCGA-HZ-7920-01A-11D-2201-08,5,6
5206,PAAD,TCGA-3A-A9IO-01A-11D-A38G-08,7,6
5207,PAAD,TCGA-3A-A9IZ-01A-12D-A40W-08,8,6
5208,PAAD,TCGA-3A-A9IN-01A-11D-A397-08,9,6
5209,PAAD,TCGA-2L-AAQJ-01A-12D-A397-08,10,6
5210,PAAD,TCGA-FZ-5923-01A-12D-1609-08,1,6
5211,PAAD,TCGA-IB-7644-01A-11D-2154-08,2,6
5212,PAAD,TCGA-3A-A9IJ-01A-11D-A397-08,3,6
5213,PAAD,TCGA-US-A77G-01A-11D-A32N-08,4,6
5214,PAAD,TCGA-FZ-5922-01A-11D-1609-08,5,6
5216,PAAD,TCGA-HZ-7922-01A-11D-2154-08,7,6
5217,PAAD,TCGA-HZ-A8P1-01A-11D-A377-08,8,6
5218,PAAD,TCGA-Q3-AA2A-01A-11D-A377-08,9,6
5219,PAAD,TCGA-HZ-7289-01A-11D-2154-08,10,6
5220,PAAD,TCGA-IB-8126-01A-11D-2396-08,1,6
5221,PAAD,TCGA-XD-AAUH-01A-42D-A40W-08,2,6
5222,PAAD,TCGA-IB-AAUW-01A-12D-A38G-08,3,6
5223,PAAD,TCGA-FB-AAQ2-01A-31D-A40W-08,4,6
5224,PAAD,TCGA-YB-A89D-01A-12D-A36O-08,5,6
5226,PAAD,TCGA-IB-7888-01A-11D-2154-08,7,6
5227,PAAD,TCGA-IB-AAUV-01A-11D-A38G-08,8,6
5228,PAAD,TCGA-XN-A8T3-01A-11D-A36O-08,9,6
5229,PAAD,TCGA-2J-AABP-01A-11D-A40W-08,10,6
5230,PAAD,TCGA-IB-AAUN-01A-12D-A38G-08,1,6
5231,PAAD,TCGA-HZ-A49I-01A-12D-A26I-08,2,6
5232,PAAD,TCGA-HZ-8002-01A-11D-2201-08,3,6
5233,PAAD,TCGA-OE-A75W-01A-12D-A32N-08,4,6
5234,PAAD,TCGA-3A-A9IC-01A-11D-A38G-08,5,6
5236,PAAD,TCGA-S4-A8RP-01A-11D-A36O-08,7,6
5237,PAAD,TCGA-2J-AABE-01A-12D-A40W-08,8,6
5238,PAAD,TCGA-3A-A9IL-01A-11D-A38G-08,9,6
5239,PAAD,TCGA-IB-A5ST-01A-11D-A32N-08,10,6
5240,PAAD,TCGA-FB-AAPZ-01A-11D-A40W-08,1,6
5241,PAAD,TCGA-3A-A9IH-01A-12D-A397-08,2,6
5242,PAAD,TCGA-IB-A6UG-01A-32D-A33T-08,3,6
5243,PAAD,TCGA-2J-AABI-01A-12D-A40W-08,4,6
5244,PAAD,TCGA-LB-A8F3-01A-11D-A36O-08,5,6
5246,PAAD,TCGA-2J-AABK-01A-31D-A40W-08,7,6
5247,PAAD,TCGA-2L-AAQL-01A-11D-A38G-08,8,6
5248,PAAD,TCGA-3A-A9I9-01A-11D-A38G-08,9,6
5249,PAAD,TCGA-IB-AAUU-01A-11D-A377-08,10,6
5250,PAAD,TCGA-HZ-A77P-01A-11D-A33T-08,1,6
5251,PAAD,TCGA-2J-AAB8-01A-12D-A40W-08,2,6
5252,PAAD,TCGA-HZ-A49G-01A-11D-A26I-08,3,6
5253,PAAD,TCGA-US-A77E-01A-11D-A32N-08,4,6
5254,PAAD,TCGA-IB-7649-01A-11D-2154-08,5,6
5256,PAAD,TCGA-FB-A7DR-01A-21D-A33T-08,7,6
5257,PAAD,TCGA-HZ-A49H-01A-11D-A26I-08,8,6
5258,PAAD,TCGA-3A-A9J0-01A-11D-A40W-08,9,6
5259,PAAD,TCGA-FB-AAPS-01A-12D-A397-08,10,6
5260,PAAD,TCGA-FB-A5VM-01A-11D-A32N-08,1,6
5261,PAAD,TCGA-FB-A4P5-01A-11D-A26I-08,2,6
5262,PAAD,TCGA-S4-A8RM-01A-11D-A377-08,3,6
5263,PAAD,TCGA-US-A779-01A-11D-A32N-08,4,6
5264,PAAD,TCGA-FB-AAPQ-01A-11D-A40W-08,5,6
5266,PAAD,TCGA-HV-A7OP-01A-11D-A33T-08,7,6
5267,PAAD,TCGA-3A-A9I7-01A-21D-A38G-08,8,6
5268,PAAD,TCGA-FZ-5926-01A-11D-1609-08,9,6
5269,PAAD,TCGA-3A-A9IR-01A-11D-A38G-08,10,6
5270,PAAD,TCGA-H8-A6C1-01A-11D-A32N-08,1,6
5271,PAAD,TCGA-HZ-8003-01A-21D-2201-08,2,6
5272,PAAD,TCGA-3A-A9IX-01A-11D-A40W-08,3,6
5273,PAAD,TCGA-FZ-5920-01A-11D-1609-08,4,6
5274,PAAD,TCGA-IB-7645-01A-22D-2201-08,5,6
5276,PAAD,TCGA-US-A776-01A-13D-A33T-08,7,6
5277,PAAD,TCGA-3A-A9I5-01A-11D-A38G-08,8,6
5278,PAAD,TCGA-3A-A9IB-01A-21D-A397-08,9,6
5279,PAAD,TCGA-FB-AAPU-01A-31D-A40W-08,10,6
5280,PAAD,TCGA-LB-A7SX-01A-11D-A33T-08,1,6
5281,PAAD,TCGA-IB-AAUM-01A-11D-A377-08,2,6
5282,PAAD,TCGA-FB-AAQ1-01A-12D-A40W-08,3,6
5283,PAAD,TCGA-2J-AABU-01A-11D-A40W-08,4,6
5284,PAAD,TCGA-H6-A45N-01A-11D-A26I-08,5,6
5286,PAAD,TCGA-HV-A5A3-01A-11D-A26I-08,7,6
5287,PAAD,TCGA-IB-A5SO-01A-11D-A32N-08,8,6
5288,PAAD,TCGA-FZ-5924-01A-13D-1609-08,9,6
5289,PAAD,TCGA-IB-7893-01A-11D-2201-08,10,6
5290,PAAD,TCGA-IB-A7M4-01A-11D-A36O-08,1,6
5291,PAAD,TCGA-IB-AAUQ-01A-22D-A40W-08,2,6
5292,PAAD,TCGA-IB-A5SP-01A-11D-A32N-08,3,6
5293,PAAD,TCGA-HV-A5A5-01A-11D-A26I-08,4,6
5294,PAAD,TCGA-RB-AA9M-01A-11D-A397-08,5,6
5296,PAAD,TCGA-XN-A8T5-01A-12D-A36O-08,7,6
5297,PAAD,TCGA-FB-AAPP-01A-12D-A40W-08,8,6
5298,PAAD,TCGA-IB-7890-01A-12D-2201-08,9,6
5299,PAAD,TCGA-HZ-7919-01A-11D-2154-08,10,6
5300,PAAD,TCGA-IB-7652-01A-11D-2154-08,1,6
5301,PAAD,TCGA-S4-A8RO-01A-12D-A377-08,2,6
5302,PAAD,TCGA-LB-A9Q5-01A-11D-A397-08,3,6
5303,PAAD,TCGA-IB-7897-01A-21D-2201-08,4,6
5304,PAAD,TCGA-F2-A7TX-01A-33D-A38G-08,5,6
5306,PAAD,TCGA-F2-7273-01A-11D-2154-08,7,6
5307,PAAD,TCGA-Z5-AAPL-01A-12D-A40W-08,8,6
5308,PAAD,TCGA-2J-AABF-01A-31D-A40W-08,9,6
5309,PAAD,TCGA-HZ-A77O-01A-11D-A33T-08,10,6
5310,PAAD,TCGA-2L-AAQI-01A-12D-A397-08,1,6
5311,PAAD,TCGA-2J-AAB6-01A-11D-A40W-08,2,6
5312,PAAD,TCGA-IB-AAUO-01A-12D-A38G-08,3,6
5313,PAAD,TCGA-HZ-7926-01A-11D-2154-08,4,6
5314,PAAD,TCGA-IB-7646-01A-11D-2154-08,5,6
5316,PAAD,TCGA-IB-A5SS-01A-11D-A32N-08,7,6
5317,PAAD,TCGA-3A-A9IU-01A-11D-A397-08,8,6
5318,PAAD,TCGA-FB-AAPY-01A-11D-A40W-08,9,6
5319,PAAD,TCGA-HV-A5A6-01A-11D-A26I-08,10,6
5320,PAAD,TCGA-US-A774-01A-21D-A32N-08,1,6
5321,PAAD,TCGA-FZ-5919-01A-11D-1609-08,2,6
5322,PAAD,TCGA-IB-7889-01A-11D-2154-08,3,6
5323,PAAD,TCGA-XD-AAUG-01A-61D-A40W-08,4,6
5324,PAAD,TCGA-HZ-7924-01A-11D-2154-08,5,6
5326,PAAD,TCGA-2J-AABT-01A-11D-A40W-08,7,6
5327,PAAD,TCGA-H6-8124-01A-11D-2396-08,8,6
5328,PAAD,TCGA-YY-A8LH-01A-11D-A36O-08,9,6
5329,PAAD,TCGA-HV-A5A4-01A-11D-A26I-08,10,6
5330,PAAD,TCGA-FB-AAQ6-01A-11D-A40W-08,1,6
5331,PAAD,TCGA-IB-8127-01A-11D-2396-08,2,6
5332,PAAD,TCGA-HV-AA8V-01A-11D-A40W-08,3,6
5333,PAAD,TCGA-F2-A44H-01A-11D-A26I-08,4,6
5334,PAAD,TCGA-IB-A6UF-01A-23D-A33T-08,5,6
5336,PAAD,TCGA-IB-A7LX-01A-12D-A36O-08,7,6
5337,PAAD,TCGA-2J-AABA-01A-21D-A40W-08,8,6
5338,PAAD,TCGA-IB-7887-01A-11D-2154-08,9,6
5339,PAAD,TCGA-XD-AAUI-01A-42D-A40W-08,10,6
5340,PAAD,TCGA-2J-AABR-01A-11D-A40W-08,1,6
5341,PAAD,TCGA-F2-A8YN-01A-11D-A377-08,2,6
5342,PAAD,TCGA-HZ-8317-01A-11D-2396-08,3,6
5343,PAAD,TCGA-XD-AAUL-01A-21D-A397-08,4,6
5344,PAAD,TCGA-HZ-A8P0-01A-11D-A36O-08,5,6
5346,PAAD,TCGA-PZ-A5RE-01A-11D-A32N-08,7,6
5347,PAAD,TCGA-FB-AAQ3-01A-11D-A40W-08,8,6
5348,PAAD,TCGA-2L-AAQA-01A-21D-A38G-08,9,6
5349,PAAD,TCGA-F2-6879-01A-11D-2154-08,10,6
5350,PAAD,TCGA-FB-A78T-01A-12D-A32N-08,1,6
5351,PAAD,TCGA-HZ-A77Q-01A-11D-A36O-08,2,6
5352,PAAD,TCGA-IB-7891-01A-11D-2201-08,3,6
5353,PAAD,TCGA-3E-AAAY-01A-11D-A38G-08,4,6
5354,PAAD,TCGA-3A-A9IS-01A-21D-A397-08,5,6
5356,PAAD,TCGA-IB-A5SQ-01A-11D-A32N-08,7,6
5357,PAAD,TCGA-IB-7886-01A-11D-2154-08,8,6
5358,PAAD,TCGA-2J-AABO-01A-21D-A40W-08,9,6
5359,PAAD,TCGA-RB-A7B8-01A-12D-A33T-08,10,6
5360,PAAD,TCGA-HV-AA8X-01A-11D-A397-08,1,6
5361,PAAD,TCGA-Q3-A5QY-01A-12D-A32N-08,2,6
5362,PAAD,TCGA-HZ-7925-01A-11D-2154-08,3,6
5363,PAAD,TCGA-3E-AAAZ-01A-11D-A38G-08,4,6
5364,PAAD,TCGA-YH-A8SY-01A-11D-A377-08,5,6
5366,PAAD,TCGA-F2-A44G-01A-11D-A26I-08,7,6
5367,PAAD,TCGA-HZ-A4BH-01A-11D-A26I-08,8,6
5368,PAAD,TCGA-2J-AABH-01A-21D-A40W-08,9,6
5369,PAAD,TCGA-IB-7885-01A-11D-2154-08,10,6
5370,PAAD,TCGA-FZ-5921-01A-11D-1609-08,1,6
5371,PAAD,TCGA-2J-AABV-01A-12D-A40W-08,2,6
5372,PAAD,TCGA-HZ-8636-01A-21D-2396-08,3,6
5373,PCPG,TCGA-RW-A67V-01A-11D-A35D-08,4,6
5374,PCPG,TCGA-RW-A68B-01A-11D-A35D-08,5,6
5376,PCPG,TCGA-WB-A81A-01A-11D-A35I-08,7,6
5377,PCPG,TCGA-QR-A70D-01A-11D-A35D-08,8,6
5378,PCPG,TCGA-S7-A7WO-01A-11D-A35I-08,9,6
5379,PCPG,TCGA-RW-A684-01A-12D-A35D-08,10,6
5380,PCPG,TCGA-QT-A7U0-01A-11D-A35D-08,1,6
5381,PCPG,TCGA-QR-A702-01A-11D-A35D-08,2,6
5382,PCPG,TCGA-S7-A7WR-01A-11D-A35I-08,3,6
5383,PCPG,TCGA-SP-A6QI-01A-12D-A35I-08,4,6
5384,PCPG,TCGA-QR-A70C-01A-21D-A35D-08,5,6
5386,PCPG,TCGA-QR-A70K-01A-12D-A35D-08,7,6
5387,PCPG,TCGA-QR-A706-01A-11D-A35D-08,8,6
5388,PCPG,TCGA-S7-A7WL-01A-11D-A35I-08,9,6
5389,PCPG,TCGA-TT-A6YO-01A-11D-A35I-08,10,6
5390,PCPG,TCGA-XG-A823-01A-11D-A35I-08,1,6
5391,PCPG,TCGA-SP-A6QG-01A-12D-A35I-08,2,6
5392,PCPG,TCGA-QR-A70W-01A-12D-A35D-08,3,6
5393,PCPG,TCGA-TT-A6YN-01A-12D-A35I-08,4,6
5394,PCPG,TCGA-WB-A822-01A-11D-A35I-08,5,6
5396,PCPG,TCGA-WB-A80M-01A-11D-A35I-08,7,6
5397,PCPG,TCGA-RT-A6YC-01A-12D-A35D-08,8,6
